level,n_blocks,block_size,mean,variance,error
0.0,4096.0,1.0,0.4999770252858555,2.2333865767336607e-08,2.335081143580168e-06
1.0,2048.0,2.0,0.4999770252858555,2.181291713857204e-08,3.263562232678945e-06
2.0,1024.0,4.0,0.4999770252858555,2.1075379878291173e-08,4.536675617938065e-06
3.0,512.0,8.0,0.4999770252858555,1.9956356931390627e-08,6.243177046314025e-06
4.0,256.0,16.0,0.4999770252858555,1.7694731984524494e-08,8.313846691787672e-06
5.0,128.0,32.0,0.49997702528585547,1.4268508562861633e-08,1.0558064365562303e-05
6.0,64.0,64.0,0.4999770252858555,1.0239605888547356e-08,1.2648867222346531e-05
7.0,32.0,128.0,0.4999770252858555,6.091475655742733e-09,1.3797050925540588e-05
8.0,16.0,256.0,0.49997702528585547,3.726647856818829e-09,1.5261569088765964e-05
9.0,8.0,512.0,0.4999770252858555,3.119485070996064e-09,1.9746787938156118e-05
10.0,4.0,1024.0,0.4999770252858555,9.222584914914729e-10,1.5184354542517382e-05
11.0,2.0,2048.0,0.4999770252858555,8.076952162497528e-11,6.354900535215924e-06
